 ,Label,Area,Mean,Min,Max,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen,Slice,Type
1,GFP_colonies:0001-0685,349,255.0000,255,255,2344.1648,684.9527,2331,675,27,20,88995.0000,88995.0000,1,2
2,GFP_colonies:0002-0780,763,255.0000,255,255,2706.3598,780.3952,2691,765,31,31,194565.0000,194565.0000,1,2
3,GFP_colonies:0003-0797,2163,0.0000,0,0,3200.3687,797.7649,3173,771,55,52,0.0000,0.0000,1,1
4,GFP_colonies:0004-0795,756,255.0000,255,255,2783.2050,795.6098,2768,780,31,31,192780.0000,192780.0000,1,2
5,GFP_colonies:0005-0808,105,0.0000,0,0,2871.3952,807.8048,2865,802,12,12,0.0000,0.0000,1,1
6,GFP_colonies:0006-0853,1852,119.7894,0,255,3317.5299,845.7023,3301,829,52,49,221850.0000,221850.0000,1,2
7,GFP_colonies:0007-0861,478,255.0000,255,255,2457.7406,860.8326,2445,849,25,24,121890.0000,121890.0000,1,2
8,GFP_colonies:0008-0876,1912,0.0000,0,0,2987.0758,876.6323,2962,851,51,51,0.0000,0.0000,1,1
9,GFP_colonies:0009-0880,1676,118.2190,0,255,2840.9337,872.9685,2825,857,49,47,198135.0000,198135.0000,1,2
10,GFP_colonies:0010-0894,1779,0.0000,0,0,2797.3797,895.0351,2773,869,50,50,0.0000,0.0000,1,1
11,GFP_colonies:0011-0901,1761,117.2913,0,255,3051.9346,893.8519,3036,878,49,47,206550.0000,206550.0000,1,2
12,GFP_colonies:0012-0923,2350,0.0000,0,0,3358.6102,921.8106,3328,894,63,58,0.0000,0.0000,1,1
13,GFP_colonies:0013-0932,352,255.0000,255,255,3783.3097,932.7983,3772,922,23,21,89760.0000,89760.0000,1,2
14,GFP_colonies:0014-0963,3865,106.9483,0,255,3559.9793,952.6752,3530,923,86,81,413355.0000,413355.0000,1,2
15,GFP_colonies:0015-0960,1976,0.0000,0,0,3195.7095,960.2399,3170,937,53,47,0.0000,0.0000,1,1
16,GFP_colonies:0016-0976,2767,36.5866,0,255,2535.5932,973.9106,2517,944,65,65,101235.0000,101235.0000,1,2
17,GFP_colonies:0017-0983,1488,126.3004,0,255,3065.9071,975.9030,3050,961,50,45,187935.0000,187935.0000,1,2
18,GFP_colonies:0018-0997,1549,121.8205,0,255,2799.8635,989.6932,2784,974,47,47,188700.0000,188700.0000,1,2
19,GFP_colonies:0019-1004,1566,0.0000,0,0,2478.4349,1003.4917,2456,981,46,46,0.0000,0.0000,1,1
20,GFP_colonies:0020-1018,1300,0.0000,0,0,3221.1331,1019.3154,3199,998,45,41,0.0000,0.0000,1,1
21,GFP_colonies:0021-1043,2077,0.0000,0,0,3545.4172,1043.1158,3520,1017,52,52,0.0000,0.0000,1,1
22,GFP_colonies:0022-1056,1620,114.4352,0,255,2506.8398,1046.7448,2492,1031,48,50,185385.0000,185385.0000,1,2
23,GFP_colonies:0023-1054,1562,0.0000,0,0,2592.5691,1054.4885,2564,1034,55,41,0.0000,0.0000,1,1
24,GFP_colonies:0024-1053,1054,0.0000,0,0,3044.1518,1053.8558,3025,1034,39,39,0.0000,0.0000,1,1
25,GFP_colonies:0025-1064,999,0.0000,0,0,3194.9374,1065.4199,3175,1047,41,35,0.0000,0.0000,1,1
26,GFP_colonies:0026-1056,123,0.0000,0,0,3725.3211,1057.0447,3718,1050,15,13,0.0000,0.0000,1,1
27,GFP_colonies:0027-1078,1504,0.0000,0,0,3344.1330,1077.9934,3321,1056,46,45,0.0000,0.0000,1,1
28,GFP_colonies:0028-1075,272,255.0000,255,255,2139.9816,1075.6875,2131,1066,18,19,69360.0000,69360.0000,1,2
29,GFP_colonies:0029-1087,687,0.0000,0,0,2917.1681,1088.0211,2901,1072,32,31,0.0000,0.0000,1,1
30,GFP_colonies:0030-1098,1266,138.1754,0,255,2744.2959,1092.2682,2730,1077,44,43,174930.0000,174930.0000,1,2
31,GFP_colonies:0031-1110,1187,0.0000,0,0,2711.9676,1109.8050,2692,1088,40,44,0.0000,0.0000,1,1
32,GFP_colonies:0032-1118,1839,0.0000,0,0,3544.5767,1118.2031,3519,1095,51,47,0.0000,0.0000,1,1
33,GFP_colonies:0033-1113,765,0.0000,0,0,3188.1784,1112.7418,3172,1098,33,31,0.0000,0.0000,1,1
34,GFP_colonies:0034-1116,720,0.0000,0,0,2955.3083,1117.4139,2938,1101,34,31,0.0000,0.0000,1,1
35,GFP_colonies:0035-1131,804,0.0000,0,0,2861.9764,1131.1866,2845,1115,33,32,0.0000,0.0000,1,1
36,GFP_colonies:0036-1125,130,0.0000,0,0,2414.7077,1125.6077,2409,1118,12,14,0.0000,0.0000,1,1
37,GFP_colonies:0037-1141,1429,0.0000,0,0,2443.3894,1143.0990,2419,1118,45,47,0.0000,0.0000,1,1
38,GFP_colonies:0038-1130,216,0.0000,0,0,1238.7685,1129.7870,1230,1119,16,23,0.0000,0.0000,1,1
39,GFP_colonies:0039-1137,592,0.0000,0,0,2914.8497,1137.0895,2902,1122,29,31,0.0000,0.0000,1,1
40,GFP_colonies:0040-1150,1137,131.6491,0,255,3218.5204,1143.9889,3205,1130,41,41,149685.0000,149685.0000,1,2
41,GFP_colonies:0041-1156,1255,96.5139,0,255,2704.2979,1144.4516,2691,1133,39,46,121125.0000,121125.0000,1,2
42,GFP_colonies:0042-1165,749,0.0000,0,0,3098.9299,1166.3505,3082,1151,35,29,0.0000,0.0000,1,1
43,GFP_colonies:0043-1187,1540,0.0000,0,0,2300.7838,1187.3604,2276,1165,50,44,0.0000,0.0000,1,1
44,GFP_colonies:0044-1190,1352,128.2544,0,255,2511.8162,1181.1868,2497,1166,45,48,173400.0000,173400.0000,1,2
45,GFP_colonies:0045-1193,1440,129.2708,0,255,3352.5589,1186.3836,3337,1171,46,44,186150.0000,186150.0000,1,2
46,GFP_colonies:0046-1195,1523,118.2075,0,255,2355.7380,1189.1091,2340,1174,46,43,180030.0000,180030.0000,1,2
47,GFP_colonies:0047-1198,1428,124.4643,0,255,3430.3852,1191.0897,3416,1176,45,45,177735.0000,177735.0000,1,2
48,GFP_colonies:0048-1215,1938,170.7895,0,255,2954.1934,1209.4892,2929,1181,59,68,330990.0000,330990.0000,1,2
49,GFP_colonies:0049-1199,941,255.0000,255,255,1830.5000,1199.5000,1813,1182,35,35,239955.0000,239955.0000,1,2
50,GFP_colonies:0050-1233,2162,68.9986,0,255,2315.4607,1222.5222,2279,1209,67,49,149175.0000,149175.0000,1,2
51,GFP_colonies:0051-1248,1980,122.9924,0,255,3735.8864,1240.1283,3718,1223,54,50,243525.0000,243525.0000,1,2
52,GFP_colonies:0052-1244,705,0.0000,0,0,3013.1738,1245.0702,2998,1228,31,33,0.0000,0.0000,1,1
53,GFP_colonies:0053-1266,2136,149.7051,0,255,2471.6380,1259.9769,2439,1245,79,42,319770.0000,319770.0000,1,2
54,GFP_colonies:0054-1275,1173,134.7826,0,255,2352.4323,1268.8839,2339,1255,42,40,158100.0000,158100.0000,1,2
55,GFP_colonies:0055-1295,1905,0.0000,0,0,2194.6974,1293.6675,2170,1263,49,65,0.0000,0.0000,1,1
56,GFP_colonies:0056-1286,1188,135.8712,0,255,2689.5442,1280.8081,2676,1266,43,41,161415.0000,161415.0000,1,2
57,GFP_colonies:0057-1281,595,0.0000,0,0,3452.8496,1281.3807,3439,1267,28,29,0.0000,0.0000,1,1
58,GFP_colonies:0058-1294,1210,87.8802,0,255,2924.7614,1284.8549,2914,1273,44,43,106335.0000,106335.0000,1,2
59,GFP_colonies:0059-1294,855,131.8246,0,255,3187.4706,1287.6719,3173,1275,36,38,112710.0000,112710.0000,1,2
60,GFP_colonies:0060-1287,168,0.0000,0,0,1165.9107,1286.8631,1159,1279,15,16,0.0000,0.0000,1,1
61,GFP_colonies:0061-1294,537,0.0000,0,0,2460.0438,1293.9302,2445,1282,29,25,0.0000,0.0000,1,1
62,GFP_colonies:0062-1303,1120,128.8661,0,255,3481.0424,1296.4947,3468,1283,42,41,144330.0000,144330.0000,1,2
63,GFP_colonies:0063-1303,1073,128.3318,0,255,2297.8685,1297.0167,2285,1284,40,39,137700.0000,137700.0000,1,2
64,GFP_colonies:0064-1318,1594,97.7447,0,255,3385.4116,1322.9812,3372,1288,38,61,155805.0000,155805.0000,1,2
65,GFP_colonies:0065-1302,389,0.0000,0,0,3230.5823,1302.1710,3219,1292,23,21,0.0000,0.0000,1,1
66,GFP_colonies:0066-1315,1416,121.7373,0,255,3290.2618,1314.1257,3262,1292,55,46,172380.0000,172380.0000,1,2
67,GFP_colonies:0067-1305,396,0.0000,0,0,3144.8308,1304.5328,3133,1294,25,22,0.0000,0.0000,1,1
68,GFP_colonies:0068-1312,519,0.0000,0,0,3082.3189,1311.9027,3069,1299,27,27,0.0000,0.0000,1,1
69,GFP_colonies:0069-1321,777,0.0000,0,0,2349.2465,1320.3958,2334,1305,33,32,0.0000,0.0000,1,1
70,GFP_colonies:0070-1333,990,171.0303,0,255,2985.0392,1328.9804,2971,1314,38,39,169320.0000,169320.0000,1,2
71,GFP_colonies:0071-1335,1087,162.1021,0,255,2760.2742,1330.3032,2746,1315,42,40,176205.0000,176205.0000,1,2
72,GFP_colonies:0072-1332,891,0.0000,0,0,2570.7604,1332.1891,2552,1316,39,33,0.0000,0.0000,1,1
73,GFP_colonies:0073-1344,1649,122.0103,0,255,3810.7978,1337.6749,3795,1322,49,45,201195.0000,201195.0000,1,2
74,GFP_colonies:0074-1338,681,0.0000,0,0,2846.9758,1337.7349,2832,1323,30,30,0.0000,0.0000,1,1
75,GFP_colonies:0075-1341,497,0.0000,0,0,2518.7636,1341.1076,2505,1328,27,26,0.0000,0.0000,1,1
76,GFP_colonies:0076-1348,884,148.2692,0,255,3048.3424,1343.8113,3035,1330,36,36,131070.0000,131070.0000,1,2
77,GFP_colonies:0077-1342,423,0.0000,0,0,2726.9799,1342.0957,2713,1331,26,22,0.0000,0.0000,1,1
78,GFP_colonies:0078-1342,309,0.0000,0,0,3242.0890,1342.4547,3232,1333,20,19,0.0000,0.0000,1,1
79,GFP_colonies:0079-1359,1743,105.9208,0,255,3901.1008,1350.8992,3886,1336,49,47,184620.0000,184620.0000,1,2
80,GFP_colonies:0080-1361,1505,114.5382,0,255,2265.5962,1353.4172,2251,1339,50,44,172380.0000,172380.0000,1,2
81,GFP_colonies:0081-1363,909,91.7327,0,255,3180.4664,1352.6498,3170,1343,32,41,83385.0000,83385.0000,1,2
82,GFP_colonies:0082-1362,865,179.8266,0,255,2810.7754,1357.3721,2797,1344,35,37,155550.0000,155550.0000,1,2
83,GFP_colonies:0083-1377,1824,101.4967,0,255,2123.6433,1367.5317,2109,1352,48,50,185130.0000,185130.0000,1,2
84,GFP_colonies:0084-1378,1173,0.0000,0,0,1184.3576,1377.4582,1167,1356,34,45,0.0000,0.0000,1,1
85,GFP_colonies:0085-1376,999,151.1111,0,255,3362.6368,1371.1453,3349,1357,40,39,150960.0000,150960.0000,1,2
86,GFP_colonies:0086-1369,326,0.0000,0,0,2716.3773,1368.3528,2706,1359,21,20,0.0000,0.0000,1,1
87,GFP_colonies:0087-1372,507,255.0000,255,255,3549.3698,1372.1292,3537,1359,25,26,129285.0000,129285.0000,1,2
88,GFP_colonies:0088-1383,975,163.4615,0,255,2618.7528,1378.0120,2605,1364,37,39,159375.0000,159375.0000,1,2
89,GFP_colonies:0089-1390,1783,174.3382,0,255,2516.4557,1386.1563,2486,1370,71,40,310845.0000,310845.0000,1,2
90,GFP_colonies:0090-1391,1033,171.3166,0,255,3251.3444,1387.6556,3237,1372,39,39,176970.0000,176970.0000,1,2
91,GFP_colonies:0091-1388,434,0.0000,0,0,2572.2373,1387.4931,2561,1375,23,26,0.0000,0.0000,1,1
92,GFP_colonies:0092-1391,607,0.0000,0,0,3446.7867,1390.0470,3433,1377,30,28,0.0000,0.0000,1,1
93,GFP_colonies:0093-1398,443,0.0000,0,0,3100.9086,1397.8679,3089,1386,23,24,0.0000,0.0000,1,1
94,GFP_colonies:0094-1407,1008,177.3363,0,255,2804.9608,1402.1591,2790,1387,39,40,178755.0000,178755.0000,1,2
95,GFP_colonies:0095-1402,475,0.0000,0,0,2981.9105,1402.4916,2970,1390,25,25,0.0000,0.0000,1,1
96,GFP_colonies:0096-1401,404,0.0000,0,0,3222.4950,1401.8515,3210,1390,25,23,0.0000,0.0000,1,1
97,GFP_colonies:0097-1414,1270,125.0906,0,255,3766.7199,1408.0104,3752,1394,45,40,158865.0000,158865.0000,1,2
