 ,Label,Area,Mean,Min,Max,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen,Slice,Type
1,GFP_colonies:0001-0938,1458,255.0000,255,255,3311.2010,937.9966,3289,917,45,42,371790.0000,371790.0000,1,2
2,GFP_colonies:0002-1056,215,0.0000,0,0,3039.7093,1056.0721,3028,1049,26,15,0.0000,0.0000,1,1
3,GFP_colonies:0003-1090,2646,158.4354,0,255,3009.5669,1078.2433,2986,1056,61,68,419220.0000,419220.0000,1,2
4,GFP_colonies:0004-1106,2285,158.9147,0,255,2835.1756,1098.8420,2814,1078,56,56,363120.0000,363120.0000,1,2
5,GFP_colonies:0005-1133,2659,167.3467,0,255,3407.6570,1126.0221,3384,1102,60,62,444975.0000,444975.0000,1,2
6,GFP_colonies:0006-1123,137,0.0000,0,0,3344.9453,1123.5146,3338,1116,13,15,0.0000,0.0000,1,1
7,GFP_colonies:0007-1132,248,0.0000,0,0,1238.0806,1132.1935,1231,1121,15,22,0.0000,0.0000,1,1
8,GFP_colonies:0008-1187,1176,255.0000,255,255,2567.5944,1186.8359,2548,1168,39,38,299880.0000,299880.0000,1,2
9,GFP_colonies:0009-1192,1524,255.0000,255,255,2869.0249,1192.5919,2848,1170,43,45,388620.0000,388620.0000,1,2
10,GFP_colonies:0010-1202,2694,169.1481,0,255,3565.8201,1196.2448,3542,1172,60,61,455685.0000,455685.0000,1,2
11,GFP_colonies:0011-1210,2063,151.6651,0,255,2657.2963,1202.9214,2638,1183,53,54,312885.0000,312885.0000,1,2
12,GFP_colonies:0012-1199,741,255.0000,255,255,1830.5000,1199.5000,1815,1184,31,31,188955.0000,188955.0000,1,2
13,GFP_colonies:0013-1272,1863,132.4960,0,255,3659.0196,1263.8244,3640,1246,52,52,246840.0000,246840.0000,1,2
14,GFP_colonies:0014-1289,230,0.0000,0,0,1165.3304,1287.9913,1157,1278,16,23,0.0000,0.0000,1,1
15,GFP_colonies:0015-1322,2235,160.6443,0,255,2742.4872,1315.4304,2720,1295,57,55,359040.0000,359040.0000,1,2
16,GFP_colonies:0016-1330,2617,168.9606,0,255,2930.2884,1323.8443,2907,1300,60,60,442170.0000,442170.0000,1,2
17,GFP_colonies:0017-1368,2820,0.0000,0,0,3447.1188,1368.4766,3417,1338,61,60,0.0000,0.0000,1,1
18,GFP_colonies:0018-1366,2175,161.6759,0,255,2663.1164,1360.0243,2642,1339,56,54,351645.0000,351645.0000,1,2
19,GFP_colonies:0019-1369,1569,255.0000,255,255,4117.5682,1369.5096,4095,1347,45,45,400095.0000,400095.0000,1,2
20,GFP_colonies:0020-1377,2642,171.8017,0,255,3827.4944,1371.5376,3803,1348,60,59,453900.0000,453900.0000,1,2
21,GFP_colonies:0021-1379,1242,0.0000,0,0,1184.2279,1376.7593,1165,1354,36,50,0.0000,0.0000,1,1
22,GFP_colonies:0022-1389,705,255.0000,255,255,2265.4262,1389.3965,2251,1374,29,31,179775.0000,179775.0000,1,2
23,GFP_colonies:0023-1400,1576,0.0000,0,0,2581.3826,1399.7100,2559,1377,45,46,0.0000,0.0000,1,1
24,GFP_colonies:0024-1427,1427,0.0000,0,0,2620.2540,1427.4846,2600,1406,42,43,0.0000,0.0000,1,1
25,GFP_colonies:0025-1433,1409,255.0000,255,255,4171.9244,1433.1813,4152,1411,40,44,359295.0000,359295.0000,1,2
26,GFP_colonies:0026-1475,170,0.0000,0,0,3554.3882,1475.4118,3548,1464,13,23,0.0000,0.0000,1,1
27,GFP_colonies:0027-1496,119,0.0000,0,0,4178.3908,1496.0630,4172,1489,13,14,0.0000,0.0000,1,1
28,GFP_colonies:0028-1528,2775,0.0000,0,0,3760.8294,1528.0222,3731,1498,59,60,0.0000,0.0000,1,1
29,GFP_colonies:0029-1551,2195,161.2483,0,255,2432.5346,1544.0331,2412,1523,56,56,353940.0000,353940.0000,1,2
30,GFP_colonies:0030-1576,1985,147.8615,0,255,2292.2498,1569.4496,2273,1550,53,53,293505.0000,293505.0000,1,2
31,GFP_colonies:0031-1647,2068,161.6562,0,255,2707.2437,1641.6396,2687,1621,53,53,334305.0000,334305.0000,1,2
32,GFP_colonies:0032-1659,141,0.0000,0,0,3771.3085,1658.5213,3765,1652,13,14,0.0000,0.0000,1,1
33,GFP_colonies:0033-1705,2407,168.1284,0,255,2751.0488,1699.4716,2729,1677,58,57,404685.0000,404685.0000,1,2
34,GFP_colonies:0034-1727,2271,0.0000,0,0,2598.9117,1726.9914,2572,1700,54,54,0.0000,0.0000,1,1
35,GFP_colonies:0035-1747,2499,172.0408,0,255,3944.0854,1741.9537,3921,1718,57,59,429930.0000,429930.0000,1,2
36,GFP_colonies:0036-1789,3433,185.7719,0,255,2540.0002,1782.7467,2508,1751,79,76,637755.0000,637755.0000,1,2
37,GFP_colonies:0037-1807,2026,166.2660,0,255,3656.0556,1801.7074,3636,1781,53,53,336855.0000,336855.0000,1,2
38,GFP_colonies:0038-1840,2458,0.0000,0,0,3797.9036,1840.4020,3770,1811,55,58,0.0000,0.0000,1,1
39,GFP_colonies:0039-1855,151,0.0000,0,0,3911.7318,1855.5132,3905,1848,14,15,0.0000,0.0000,1,1
40,GFP_colonies:0040-1879,2361,160.9276,0,255,3997.9067,1872.7503,3976,1851,56,57,379950.0000,379950.0000,1,2
41,GFP_colonies:0041-1883,2226,163.8140,0,255,2615.9385,1876.8196,2594,1857,58,52,364650.0000,364650.0000,1,2
42,GFP_colonies:0042-1905,806,255.0000,255,255,2105.9231,1904.9231,2090,1889,32,32,205530.0000,205530.0000,1,2
43,GFP_colonies:0043-1940,2416,167.7132,0,255,3249.8940,1933.5988,3228,1911,56,58,405195.0000,405195.0000,1,2
44,GFP_colonies:0044-1935,1434,142.7929,0,255,2532.5498,1929.4278,2517,1913,45,45,204765.0000,204765.0000,1,2
45,GFP_colonies:0045-1940,2064,167.6526,0,255,3819.0601,1934.2354,3799,1913,52,54,346035.0000,346035.0000,1,2
46,GFP_colonies:0046-1943,2294,171.7415,0,255,3635.3686,1937.7880,3613,1916,56,55,393975.0000,393975.0000,1,2
47,GFP_colonies:0047-1966,3741,91.6119,0,255,3520.4040,1952.1176,3471,1931,81,70,342720.0000,342720.0000,1,2
48,GFP_colonies:0048-2003,2171,173.0147,0,255,4118.4559,1997.5692,4097,1976,54,54,375615.0000,375615.0000,1,2
49,GFP_colonies:0049-2041,2449,173.7832,0,255,4209.6168,2035.0201,4188,2011,54,60,425595.0000,425595.0000,1,2
50,GFP_colonies:0050-2050,1737,255.0000,255,255,2322.0584,2051.1494,2298,2024,48,53,442935.0000,442935.0000,1,2
51,GFP_colonies:0051-2056,2285,169.2932,0,255,3017.7314,2050.0972,2996,2028,56,56,386835.0000,386835.0000,1,2
52,GFP_colonies:0052-2058,2364,174.6383,0,255,4041.4506,2053.0423,4019,2030,55,57,412845.0000,412845.0000,1,2
53,GFP_colonies:0053-2061,2470,169.4150,0,255,2565.7017,2055.4141,2543,2032,59,58,418455.0000,418455.0000,1,2
54,GFP_colonies:0054-2066,1887,146.7568,0,255,4138.8610,2060.4991,4111,2041,58,50,276930.0000,276930.0000,1,2
55,GFP_colonies:0055-2077,2283,166.0907,0,255,2792.9943,2071.8450,2771,2050,57,55,379185.0000,379185.0000,1,2
56,GFP_colonies:0056-2073,184,0.0000,0,0,3271.1630,2074.3424,3266,2060,10,27,0.0000,0.0000,1,1
57,GFP_colonies:0057-2094,2369,172.4398,0,255,3788.5094,2087.8171,3766,2066,58,56,408510.0000,408510.0000,1,2
58,GFP_colonies:0058-2122,2175,0.0000,0,0,3052.3611,2122.2177,3026,2096,53,53,0.0000,0.0000,1,1
59,GFP_colonies:0059-2126,2442,64.7420,0,255,2718.0000,2126.7339,2704,2099,62,55,158100.0000,158100.0000,1,2
60,GFP_colonies:0060-2140,1443,0.0000,0,0,3227.6033,2140.7613,3204,2119,45,43,0.0000,0.0000,1,1
61,GFP_colonies:0061-2175,2382,175.1385,0,255,3638.0465,2169.6687,3615,2147,57,57,417180.0000,417180.0000,1,2
62,GFP_colonies:0062-2178,1503,0.0000,0,0,3205.1833,2178.1673,3183,2156,44,44,0.0000,0.0000,1,1
63,GFP_colonies:0063-2171,705,255.0000,255,255,2289.6404,2171.2887,2273,2157,33,28,179775.0000,179775.0000,1,2
64,GFP_colonies:0064-2212,2261,170.5263,0,255,3810.5575,2207.0192,3789,2185,55,55,385560.0000,385560.0000,1,2
65,GFP_colonies:0065-2223,2386,0.0000,0,0,3384.9853,2222.7850,3358,2195,54,56,0.0000,0.0000,1,1
