 ,Label,Area,Mean,Min,Max,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen,Slice,Type
97,GFP_colonies:0097-2244,1853,171.8807,0,255,2294.5280,2240.0212,2275,2220,52,49,318495.0000,318495.0000,1,2
98,GFP_colonies:0098-2243,1409,0.0000,0,0,2835.4539,2243.1615,2813,2222,44,43,0.0000,0.0000,1,1
99,GFP_colonies:0099-2249,2012,188.5885,0,255,3365.9348,2244.7164,3344,2223,54,52,379440.0000,379440.0000,1,2
100,GFP_colonies:0100-2254,1484,0.0000,0,0,3761.9973,2254.5997,3740,2233,44,43,0.0000,0.0000,1,1
101,GFP_colonies:0101-2299,1224,0.0000,0,0,3022.3938,2299.2688,3002,2279,41,40,0.0000,0.0000,1,1
102,GFP_colonies:0102-2301,962,255.0000,255,255,3582.3139,2301.7516,3564,2284,36,35,245310.0000,245310.0000,1,2
103,GFP_colonies:0103-2309,1686,0.0000,0,0,3267.6886,2309.4733,3244,2286,48,46,0.0000,0.0000,1,1
104,GFP_colonies:0104-2314,2338,176.7985,0,255,2353.3464,2309.9670,2331,2287,58,55,413355.0000,413355.0000,1,2
105,GFP_colonies:0105-2324,1922,0.0000,0,0,3739.4553,2324.6930,3715,2300,50,49,0.0000,0.0000,1,1
106,GFP_colonies:0106-2330,344,0.0000,0,0,1474.3343,2330.6919,1464,2318,22,24,0.0000,0.0000,1,1
107,GFP_colonies:0107-2353,1344,0.0000,0,0,2964.0938,2352.9859,2943,2332,43,42,0.0000,0.0000,1,1
108,GFP_colonies:0108-2374,2745,90.2951,0,255,3002.1842,2380.6235,2984,2342,72,64,247860.0000,247860.0000,1,2
109,GFP_colonies:0109-2378,1914,179.9922,0,255,3193.0840,2372.8664,3173,2352,51,52,344505.0000,344505.0000,1,2
110,GFP_colonies:0110-2387,1889,0.0000,0,0,1308.5222,2387.0971,1286,2354,45,66,0.0000,0.0000,1,1
111,GFP_colonies:0111-2425,1087,255.0000,255,255,2008.0032,2425.2544,1990,2406,36,38,277185.0000,277185.0000,1,2
