 ,Label,Area,Mean,Min,Max,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen,Slice,Type
1,GFP_colonies:0001-0090,6365,0.0000,0,0,4400.6725,79.7727,4323,44,128,93,0.0000,0.0000,1,1
2,GFP_colonies:0002-0140,164,0.0000,0,0,4446.1524,140.2500,4437,133,18,14,0.0000,0.0000,1,1
3,GFP_colonies:0003-0491,117,0.0000,0,0,2772.7051,492.2179,2764,485,15,13,0.0000,0.0000,1,1
4,GFP_colonies:0004-0539,121,0.0000,0,0,3517.1281,539.6322,3510,533,14,13,0.0000,0.0000,1,1
5,GFP_colonies:0005-0546,321,0.0000,0,0,3497.7835,545.6495,3485,537,26,18,0.0000,0.0000,1,1
6,GFP_colonies:0006-1054,3197,174.9187,0,255,3238.3824,1049.2164,3212,1023,67,63,559215.0000,559215.0000,1,2
7,GFP_colonies:0007-1051,1576,255.0000,255,255,3741.0476,1051.8312,3717,1023,48,57,401880.0000,401880.0000,1,2
8,GFP_colonies:0008-1072,3322,173.2495,0,255,2911.9723,1065.7149,2885,1039,68,66,575535.0000,575535.0000,1,2
9,GFP_colonies:0009-1133,1004,255.0000,255,255,3796.3486,1133.5349,3779,1113,35,40,256020.0000,256020.0000,1,2
10,GFP_colonies:0010-1147,2785,175.3411,0,255,3310.2969,1141.5637,3286,1117,62,61,488325.0000,488325.0000,1,2
11,GFP_colonies:0011-1129,191,0.0000,0,0,1237.8665,1128.2539,1231,1120,14,18,0.0000,0.0000,1,1
12,GFP_colonies:0012-1152,2797,172.6743,0,255,3231.8136,1147.1278,3207,1122,63,61,482970.0000,482970.0000,1,2
13,GFP_colonies:0013-1157,3528,168.1930,0,255,2498.0668,1150.1850,2471,1123,70,68,593385.0000,593385.0000,1,2
14,GFP_colonies:0014-1204,971,255.0000,255,255,3837.7152,1205.6256,3821,1183,34,43,247605.0000,247605.0000,1,2
15,GFP_colonies:0015-1199,593,255.0000,255,255,1830.5000,1199.5000,1817,1186,27,27,151215.0000,151215.0000,1,2
16,GFP_colonies:0016-1280,152,0.0000,0,0,1163.1711,1279.1974,1154,1272,16,16,0.0000,0.0000,1,1
