 ,Label,Area,Mean,Min,Max,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen,Slice,Type
1,GFP_colonies:0001-0996,129,0.0000,0,0,3031.4380,996.0659,3020,991,22,10,0,0,1,1
2,GFP_colonies:0002-1052,4518,0.0000,0,0,2943.6788,1052.2625,2906,1014,77,77,0,0,1,1
3,GFP_colonies:0003-1123,408,0.0000,0,0,1237.8431,1124.7574,1228,1107,20,33,0,0,1,1
4,GFP_colonies:0004-1182,1928,255.0000,255,255,3778.7806,1183.2251,3754,1157,50,51,491640,491640,1,2
5,GFP_colonies:0005-1189,101,0.0000,0,0,2078.6584,1190.1634,2070,1182,17,15,0,0,1,1
6,GFP_colonies:0006-1199,681,255.0000,255,255,1830.5000,1199.5000,1816,1185,29,29,173655,173655,1,2
7,GFP_colonies:0007-1284,289,0.0000,0,0,1162.0121,1282.6453,1149,1273,23,23,0,0,1,1
8,GFP_colonies:0008-1374,1472,0.0000,0,0,1183.9307,1373.5856,1162,1349,40,51,0,0,1,1
9,GFP_colonies:0009-1391,4430,152.1366,0,255,2593.6271,1383.1716,2565,1353,77,76,673965,673965,1,2
10,GFP_colonies:0010-1491,4405,157.1101,0,255,3084.7859,1482.2760,3055,1453,77,76,692070,692070,1,2
11,GFP_colonies:0011-1493,3764,0.0000,0,0,2794.3425,1492.7444,2759,1459,70,68,0,0,1,1
12,GFP_colonies:0012-1547,2722,0.0000,0,0,2773.8402,1548.1708,2742,1520,64,55,0,0,1,1
13,GFP_colonies:0013-1572,4049,149.2591,0,255,2939.9616,1563.9245,2912,1537,74,71,604350,604350,1,2
14,GFP_colonies:0014-1567,1016,0.0000,0,0,3878.2077,1565.1860,3856,1547,47,40,0,0,1,1
15,GFP_colonies:0015-1753,150,0.0000,0,0,3953.3600,1752.3733,3944,1746,17,14,0,0,1,1
16,GFP_colonies:0016-1803,122,0.0000,0,0,3988.7951,1802.9590,3981,1798,16,11,0,0,1,1
17,GFP_colonies:0017-1904,748,255.0000,255,255,2105.0789,1904.2313,2090,1889,31,31,190740,190740,1,2
18,GFP_colonies:0018-1968,4394,0.0000,0,0,2471.5112,1968.6643,2433,1930,76,76,0,0,1,1
19,GFP_colonies:0019-1963,147,0.0000,0,0,3736.1667,1962.0510,3727,1953,17,20,0,0,1,1
20,GFP_colonies:0020-2064,108,0.0000,0,0,3614.8796,2063.6667,3610,2057,11,14,0,0,1,1
21,GFP_colonies:0021-2109,4497,0.0000,0,0,2151.6883,2109.7213,2114,2071,77,77,0,0,1,1
22,GFP_colonies:0022-2086,342,0.0000,0,0,3421.7398,2085.8596,3408,2077,29,18,0,0,1,1
23,GFP_colonies:0023-2125,4218,155.4908,0,255,2792.7166,2117.8806,2764,2090,77,71,655860,655860,1,2
24,GFP_colonies:0024-2116,104,0.0000,0,0,3380.6923,2116.3558,3376,2109,11,15,0,0,1,1
25,GFP_colonies:0025-2268,4622,156.9061,0,255,3533.1245,2260.8428,3503,2231,78,75,725220,725220,1,2
26,GFP_colonies:0026-2278,4722,0.0000,0,0,2988.4252,2278.3225,2949,2240,78,77,0,0,1,1
27,GFP_colonies:0027-2326,359,0.0000,0,0,1474.6616,2327.5529,1462,2315,24,23,0,0,1,1
28,GFP_colonies:0028-2335,101,0.0000,0,0,3876.3218,2334.8663,3871,2329,11,12,0,0,1,1
29,GFP_colonies:0029-2385,2071,0.0000,0,0,1308.8254,2385.3465,1286,2351,46,69,0,0,1,1
30,GFP_colonies:0030-2379,111,0.0000,0,0,3893.5901,2380.1847,3889,2372,9,15,0,0,1,1
31,GFP_colonies:0031-2414,4132,156.9990,0,255,3376.0267,2406.7433,3348,2378,73,72,648720,648720,1,2
32,GFP_colonies:0032-2508,1180,0.0000,0,0,1295.4466,2508.1864,1276,2485,39,47,0,0,1,1
33,GFP_colonies:0033-2676,691,0.0000,0,0,3306.1599,2675.4233,3292,2660,29,32,0,0,1,1
34,GFP_colonies:0034-2725,4913,0.0000,0,0,2930.9720,2724.5851,2892,2685,80,81,0,0,1,1
35,GFP_colonies:0035-2723,4558,0.0000,0,0,3581.2898,2723.3219,3543,2686,78,75,0,0,1,1
36,GFP_colonies:0036-2839,496,255.0000,255,255,3642.7258,2839.3710,3630,2826,25,26,126480,126480,1,2
37,GFP_colonies:0037-2900,4664,0.0000,0,0,2791.8188,2899.1529,2753,2861,78,78,0,0,1,1
38,GFP_colonies:0038-2955,494,0.0000,0,0,4305.1478,2954.4575,4291,2940,26,31,0,0,1,1
39,GFP_colonies:0039-3085,694,255.0000,255,255,2648.2752,3084.4395,2633,3071,31,28,176970,176970,1,2
40,GFP_colonies:0040-3596,114,0.0000,0,0,4903.8947,3595.7807,4898,3588,10,16,0,0,1,1
41,GFP_colonies:0041-3623,111,0.0000,0,0,4898.0045,3622.8063,4891,3618,16,10,0,0,1,1
42,GFP_colonies:0042-3744,748,0.0000,0,0,1249.8369,3743.8222,1228,3732,44,24,0,0,1,1
43,GFP_colonies:0043-3753,501,0.0000,0,0,2117.0309,3752.4082,2104,3740,25,26,0,0,1,1
44,GFP_colonies:0044-3874,565,0.0000,0,0,1110.8186,3875.7354,1098,3856,22,37,0,0,1,1
45,GFP_colonies:0045-3886,126,0.0000,0,0,1331.5476,3887.2302,1322,3879,17,14,0,0,1,1
