 ,Label,Area,Mean,Min,Max,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen,Slice,Type
1,GFP_colonies:0001-0861,1001,255.0000,255,255,3336.9975,860.0954,3319,842,35,39,255255,255255,1,2
2,GFP_colonies:0002-0869,1117,255.0000,255,255,3306.9521,871.0175,3288,850,39,39,284835,284835,1,2
3,GFP_colonies:0003-0862,107,0.0000,0,0,2262.3318,862.3785,2255,856,16,12,0,0,1,1
4,GFP_colonies:0004-0948,1198,0.0000,0,0,3263.8139,947.3431,3244,928,40,40,0,0,1,1
5,GFP_colonies:0005-0940,401,255.0000,255,255,3696.1683,940.3354,3683,929,26,22,102255,102255,1,2
6,GFP_colonies:0006-0949,303,0.0000,0,0,3529.1700,950.5462,3518,939,21,21,0,0,1,1
7,GFP_colonies:0007-0963,308,255.0000,255,255,2172.1396,963.2175,2160,952,24,22,78540,78540,1,2
8,GFP_colonies:0008-0972,1165,0.0000,0,0,3231.7927,973.0468,3212,953,40,39,0,0,1,1
9,GFP_colonies:0009-0973,1235,0.0000,0,0,3328.7972,973.6482,3309,954,40,39,0,0,1,1
10,GFP_colonies:0010-1003,1062,0.0000,0,0,3305.3220,1003.5141,3284,985,43,36,0,0,1,1
11,GFP_colonies:0011-1026,1207,255.0000,255,255,2523.0725,1026.4097,2502,1007,41,39,307785,307785,1,2
12,GFP_colonies:0012-1016,101,0.0000,0,0,3120.3218,1016.9752,3113,1008,16,16,0,0,1,1
13,GFP_colonies:0013-1027,1222,0.0000,0,0,3195.7259,1026.5900,3175,1008,42,38,0,0,1,1
14,GFP_colonies:0014-1035,1155,255.0000,255,255,2488.7000,1035.6247,2469,1016,40,39,294525,294525,1,2
15,GFP_colonies:0015-1050,1735,174.6052,0,255,2670.5025,1044.5396,2651,1025,50,50,302940,302940,1,2
16,GFP_colonies:0016-1048,569,60.5009,0,255,3071.4481,1041.7296,3051,1035,40,26,34425,34425,1,2
17,GFP_colonies:0017-1058,1490,0.0000,0,0,2622.4201,1058.3564,2601,1036,44,45,0,0,1,1
18,GFP_colonies:0018-1088,1782,191.3215,0,255,2858.3482,1085.0774,2838,1064,50,49,340935,340935,1,2
19,GFP_colonies:0019-1088,959,0.0000,0,0,3123.1204,1090.2351,3107,1069,33,39,0,0,1,1
20,GFP_colonies:0020-1107,1852,192.3515,0,255,3434.1220,1103.2538,3413,1082,52,51,356235,356235,1,2
21,GFP_colonies:0021-1106,940,0.0000,0,0,2915.5628,1106.5362,2897,1089,36,35,0,0,1,1
22,GFP_colonies:0022-1114,677,138.6115,0,255,3725.8804,1108.3832,3715,1098,33,32,93840,93840,1,2
23,GFP_colonies:0023-1117,544,0.0000,0,0,3762.9026,1117.8309,3749,1105,28,25,0,0,1,1
24,GFP_colonies:0024-1125,1130,0.0000,0,0,3195.5584,1125.7062,3175,1106,40,39,0,0,1,1
25,GFP_colonies:0025-1131,203,0.0000,0,0,1238.6724,1131.0123,1231,1121,15,21,0,0,1,1
26,GFP_colonies:0026-1152,1004,0.0000,0,0,3604.3088,1151.2251,3586,1133,36,38,0,0,1,1
27,GFP_colonies:0027-1150,780,0.0000,0,0,3064.4808,1151.1333,3049,1134,31,33,0,0,1,1
28,GFP_colonies:0028-1155,1014,0.0000,0,0,3538.3895,1154.3649,3520,1134,36,42,0,0,1,1
29,GFP_colonies:0029-1156,1066,0.0000,0,0,3501.5159,1156.9371,3483,1136,37,40,0,0,1,1
30,GFP_colonies:0030-1160,1128,0.0000,0,0,3288.8183,1160.9583,3268,1142,41,37,0,0,1,1
31,GFP_colonies:0031-1166,1048,0.0000,0,0,2744.0029,1165.3378,2726,1147,37,39,0,0,1,1
